Feature,Importance
UV2 (390)-H :: UV2 (390)-H,0.0014277282
UV16 (675)-A :: UV16 (675)-A,0.0014195397
B4 (545)-T :: B4 (545)-T,0.001408694
UV19 (750)-H :: UV19 (750)-H,0.0014053719
V14 (675)-A :: V14 (675)-A,0.0013826928
R7 (810)-W :: R7 (810)-W,0.0013626594
UV22 (845)-T :: UV22 (845)-T,0.001334064
B14 (780)-T :: B14 (780)-T,0.001295063
V9 (575)-H :: V9 (575)-H,0.0012913746
R8 (845)-A :: R8 (845)-A,0.0012767509
YG8 (725)-A :: YG8 (725)-A,0.0012535517
UV5 (460)-A :: UV5 (460)-A,0.0012504797
V8 (545)-H :: V8 (545)-H,0.0012306278
ImgB2 (600)-A :: ImgB2 (600)-A,0.0012087187
B2 (515)-T :: B2 (515)-T,0.0011823276
R6 (780)-T :: R6 (780)-T,0.001165776
UV8 (515)-H :: UV8 (515)-H,0.00116521
UV7 (500)-A :: UV7 (500)-A,0.0011320502
V10 (590)-H :: V10 (590)-H,0.0011312965
Chromomysin A3*-A :: Chromomysin A3*-A,0.0011290278
YG10 (780)-H :: YG10 (780)-H,0.0011245998
V13 (655)-H :: V13 (655)-H,0.0010919566
UV3 (420)-A :: UV3 (420)-A,0.0010779265
UV6 (475)-A :: UV6 (475)-A,0.0010636159
B3 (530)-T :: B3 (530)-T,0.0010311092
V15 (700)-A :: V15 (700)-A,0.0010295988
UV14 (625)-H :: UV14 (625)-H,0.0010292938
B15 (810)-W :: B15 (810)-W,0.0010173654
YG1 (575)-A :: YG1 (575)-A,0.0010142996
V11 (605)-H :: V11 (605)-H,0.001006959
B14 (780)-A :: B14 (780)-A,0.0009963951
V18 (780)-H :: V18 (780)-H,0.0009898321
UV17 (700)-T :: UV17 (700)-T,0.0009895692
B12 (725)-A :: B12 (725)-A,0.00094224885
V5 (500)-H :: V5 (500)-H,0.00093708455
ImgB1 (535)-A :: ImgB1 (535)-A,0.00090564054
B7 (605)-T :: B7 (605)-T,0.00090312836
YG2 (590)-W :: YG2 (590)-W,0.0008964059
YG11 (810)-T :: YG11 (810)-T,0.0008763009
UV20 (780)-H :: UV20 (780)-H,0.0008668027
V6 (515)-H :: V6 (515)-H,0.0008660023
V4 (475)-T :: V4 (475)-T,0.00085953047
UV16 (675)-T :: UV16 (675)-T,0.000855722
V3 (460)-T :: V3 (460)-T,0.00085349596
UV7 (500)-T :: UV7 (500)-T,0.00085112307
V4 (475)-A :: V4 (475)-A,0.000848541
V3 (460)-A :: V3 (460)-A,0.0008348814
UV15 (655)-T :: UV15 (655)-T,0.0008342154
B15 (810)-A :: B15 (810)-A,0.00082385144
V11 (605)-W :: V11 (605)-W,0.00078544905
V14 (675)-W :: V14 (675)-W,0.00078441197
R8 (845)-W :: R8 (845)-W,0.00078407786
UV18 (725)-T :: UV18 (725)-T,0.0007825057
B6 (590)-T :: B6 (590)-T,0.0007805606
V4 (475)-W :: V4 (475)-W,0.0007791745
UV18 (725)-W :: UV18 (725)-W,0.00077271345
R7 (810)-T :: R7 (810)-T,0.00076740055
YG3 (605)-W :: YG3 (605)-W,0.00076550856
V13 (655)-A :: V13 (655)-A,0.0007612556
V6 (515)-A :: V6 (515)-A,0.0007550601
B15 (810)-T :: B15 (810)-T,0.0007531578
V3 (460)-W :: V3 (460)-W,0.00073634076
V17 (750)-T :: V17 (750)-T,0.0007342834
R8 (845)-T :: R8 (845)-T,0.0007319503
B7 (605)-W :: B7 (605)-W,0.0007270875
V15 (700)-T :: V15 (700)-T,0.00072070037
V15 (700)-W :: V15 (700)-W,0.000716523
V10 (590)-W :: V10 (590)-W,0.0007161904
B6 (590)-W :: B6 (590)-W,0.00070974807
V16 (725)-T :: V16 (725)-T,0.00070915197
V19 (810)-H :: V19 (810)-H,0.0007088548
V20 (845)-A :: V20 (845)-A,0.0007018115
UV19 (750)-T :: UV19 (750)-T,0.0007004217
V1 (420)-A :: V1 (420)-A,0.00069734507
V9 (575)-A :: V9 (575)-A,0.00069565367
V5 (500)-T :: V5 (500)-T,0.0006932506
V5 (500)-A :: V5 (500)-A,0.00069238164
V17 (750)-A :: V17 (750)-A,0.0006911289
B5 (575)-W :: B5 (575)-W,0.00069050305
V7 (530)-H :: V7 (530)-H,0.00068996905
YG4 (625)-W :: YG4 (625)-W,0.0006891292
B5 (575)-T :: B5 (575)-T,0.00068707264
V16 (725)-A :: V16 (725)-A,0.00068495417
V13 (655)-T :: V13 (655)-T,0.000682975
UV22 (845)-H :: UV22 (845)-H,0.00067712634
UV21 (810)-T :: UV21 (810)-T,0.0006719827
ImgB2 (600)-W :: ImgB2 (600)-W,0.00067145337
V20 (845)-H :: V20 (845)-H,0.00066546944
YG1 (575)-T :: YG1 (575)-T,0.00066430494
ImgB1 (535)-W :: ImgB1 (535)-W,0.0006608144
V9 (575)-T :: V9 (575)-T,0.000657122
B8 (625)-A :: B8 (625)-A,0.0006496475
UV2 (390)-A :: UV2 (390)-A,0.0006483414
V18 (780)-T :: V18 (780)-T,0.00064190873
V14 (675)-T :: V14 (675)-T,0.0006328161
B8 (625)-T :: B8 (625)-T,0.00063147844
V1 (420)-T :: V1 (420)-T,0.0006309827
UV14 (625)-A :: UV14 (625)-A,0.0006290501
V13 (655)-W :: V13 (655)-W,0.00062222464
YG12 (845)-T :: YG12 (845)-T,0.00061709475
V2 (440)-T :: V2 (440)-T,0.00061432185
UV20 (780)-A :: UV20 (780)-A,0.0006136791
B16 (845)-T :: B16 (845)-T,0.0006122056
UV17 (700)-A :: UV17 (700)-A,0.0006075525
UV12 (590)-H :: UV12 (590)-H,0.0006072757
YG11 (810)-W :: YG11 (810)-W,0.00060511724
UV20 (780)-T :: UV20 (780)-T,0.0005962884
UV8 (515)-T :: UV8 (515)-T,0.0005958245
V12 (625)-A :: V12 (625)-A,0.00059504237
B16 (845)-A :: B16 (845)-A,0.00059465127
B8 (625)-W :: B8 (625)-W,0.0005942675
V1 (420)-W :: V1 (420)-W,0.00058997195
UV21 (810)-H :: UV21 (810)-H,0.00058603444
UV16 (675)-W :: UV16 (675)-W,0.00057489076
UV13 (605)-A :: UV13 (605)-A,0.0005747619
V8 (545)-T :: V8 (545)-T,0.0005731891
UV21 (810)-A :: UV21 (810)-A,0.00057021045
UV9 (530)-W :: UV9 (530)-W,0.0005688092
UV10 (545)-H :: UV10 (545)-H,0.0005686238
V6 (515)-W :: V6 (515)-W,0.0005663781
V7 (530)-T :: V7 (530)-T,0.0005637072
V20 (845)-T :: V20 (845)-T,0.0005629678
V9 (575)-W :: V9 (575)-W,0.00056296535
V12 (625)-T :: V12 (625)-T,0.00055923185
V8 (545)-A :: V8 (545)-A,0.0005578704
V11 (605)-T :: V11 (605)-T,0.00055734196
UV9 (530)-T :: UV9 (530)-T,0.00055706216
V2 (440)-A :: V2 (440)-A,0.00055645825
YG4 (625)-A :: YG4 (625)-A,0.0005558167
V6 (515)-T :: V6 (515)-T,0.0005542455
YG12 (845)-W :: YG12 (845)-W,0.0005533102
UV18 (725)-A :: UV18 (725)-A,0.0005530769
UV10 (545)-A :: UV10 (545)-A,0.0005515215
UV1 (375)-A :: UV1 (375)-A,0.0005514578
