Feature,Importance
ImgB3 (790)-A :: ImgB3 (790)-A,0.002467078920229305
B2 (515)-T :: B2 (515)-T,0.0024629021439201873
B12 (725)-T :: B12 (725)-T,0.0024623335689734254
B10 (675)-T :: B10 (675)-T,0.0024550278269144963
V15 (700)-T :: V15 (700)-T,0.0023799426929890697
V15 (700)-H :: V15 (700)-H,0.002339411534023159
V14 (675)-H :: V14 (675)-H,0.0023215744587473126
YG3 (605)-W :: YG3 (605)-W,0.002305116330764386
UV15 (655)-T :: UV15 (655)-T,0.0022888684841776167
B12 (725)-A :: B12 (725)-A,0.002278005260577966
B13 (750)-T :: B13 (750)-T,0.002224624181174525
YG9 (750)-A :: YG9 (750)-A,0.0021934251848301613
YG10 (780)-A :: YG10 (780)-A,0.0021673304561946787
B8 (625)-A :: B8 (625)-A,0.002155771722515089
R7 (810)-H :: R7 (810)-H,0.002141624966540599
B13 (750)-A :: B13 (750)-A,0.002095411054281577
B3 (530)-T :: B3 (530)-T,0.0020467192902973454
B9 (655)-A :: B9 (655)-A,0.0020273896762112048
YG12 (845)-T :: YG12 (845)-T,0.0019867100395092145
B4 (545)-T :: B4 (545)-T,0.001962318735370234
UV19 (750)-T :: UV19 (750)-T,0.0019554359099716884
V3 (460)-A :: V3 (460)-A,0.0019440658238095503
UV17 (700)-H :: UV17 (700)-H,0.0019378297633885135
B15 (810)-H :: B15 (810)-H,0.0019305021830089677
UV15 (655)-H :: UV15 (655)-H,0.0018947228602591716
V16 (725)-T :: V16 (725)-T,0.0018496514881261293
R6 (780)-T :: R6 (780)-T,0.0018031523073853365
V13 (655)-T :: V13 (655)-T,0.0017741786924087943
UV16 (675)-H :: UV16 (675)-H,0.0016848556328729045
R8 (845)-H :: R8 (845)-H,0.0015978245934160887
B16 (845)-H :: B16 (845)-H,0.0015873443991506159
R7 (810)-A :: R7 (810)-A,0.001576422021629106
V1 (420)-T :: V1 (420)-T,0.0015626124133856184
UV6 (475)-A :: UV6 (475)-A,0.0015613253364669258
ImgB1 (535)-W :: ImgB1 (535)-W,0.001558533664894449
B14 (780)-T :: B14 (780)-T,0.0015508282321698437
Time :: Time,0.0015241735838797095
LightLoss (Violet)-W :: LightLoss (Violet)-W,0.0014558654863147643
V1 (420)-A :: V1 (420)-A,0.0014294344692970674
YG2 (590)-W :: YG2 (590)-W,0.001414307049787481
B14 (780)-A :: B14 (780)-A,0.0013865532838781287
ImgB1 (535)-A :: ImgB1 (535)-A,0.0013297508268305122
UV8 (515)-T :: UV8 (515)-T,0.0013282047101618672
V4 (475)-A :: V4 (475)-A,0.0013150036270032344
UV9 (530)-H :: UV9 (530)-H,0.0012717357945349575
V7 (530)-H :: V7 (530)-H,0.001267360082969564
B15 (810)-T :: B15 (810)-T,0.0012425235197557499
V2 (440)-T :: V2 (440)-T,0.001204597326024154
V13 (655)-H :: V13 (655)-H,0.001202900792704175
V17 (750)-T :: V17 (750)-T,0.0012021905911393058
